item_id,item,title,year,genres,tags,item weight,prototype
231,597,Pretty Woman (1990),1990,Comedy|Romance,chick flick|destiny|fairy tale|feel good movie|feel-good|girlie movie|good romantic comedies|happy ending|love story|prostitution|rags to riches|romance|romantic|romantic comedy|shopping|sweet|women,0.079805925,0
863,2671,Notting Hill (1999),1999,Comedy|Romance,british|chick flick|comedy|destiny|feel good movie|feel-good|girlie movie|good romantic comedies|happy ending|london|love story|relationships|romance|romantic|romantic comedy|sweet,0.07620311,0
233,1569,My Best Friend's Wedding (1997),1997,Comedy|Romance,chick flick|gay|gay character|girlie movie|good romantic comedies|happy ending|love|love story|relationships|romance|romantic|romantic comedy|sweet|unlikely friendships|wedding,0.07195564,0
455,2424,You've Got Mail (1998),1998,Comedy|Romance,chick flick|cute|cute!|destiny|feel good movie|feel-good|girlie movie|good romantic comedies|happy ending|internet|love story|predictable|relationships|romance|romantic|romantic comedy|sappy|shopping|sweet,0.07183998,0
622,2724,Runaway Bride (1999),1999,Comedy|Romance,chick flick|cute|cute!|destiny|feel-good|girlie movie|good romantic comedies|happy ending|love story|predictable|romance|romantic|romantic comedy|shopping|small town|wedding,0.07166839,0
110,356,Forrest Gump (1994),1994,Comedy|Romance|War,based on book|biographical|bittersweet|childhood|destiny|disability|drama|earnest|excellent script|feel-good|good|great acting|great movie|heartwarming|historical|history|imdb top 250|inspirational|life|mentor|narrated|nostalgic|oscar|oscar (best actor)|oscar (best directing)|oscar (best picture)|oscar winner|quotable|sentimental|touching|us history,0.071178645,0
492,539,Sleepless in Seattle (1993),1993,Comedy|Romance,chick flick|destiny|feel good movie|feel-good|girlie movie|good romantic comedies|happy ending|love|love story|relationships|romance|romantic|romantic comedy|sentimental|sweet,0.07116169,0
349,587,Ghost (1990),1990,Comedy|Romance|Thriller,afterlife|bittersweet|chase|chick flick|death|destiny|drama|ghosts|ghosts/afterlife|girlie movie|good|life & death|love story|oscar (best supporting actress)|oscar winner|romance|romantic|romantic comedy|sentimental|supernatural|suspense|tear jerker|touching,0.068589814,0
412,339,While You Were Sleeping (1995),1995,Comedy|Romance,chick flick|cute|destiny|family|feel good movie|feel-good|girlie movie|good romantic comedies|happy ending|heartwarming|love|love story|romance|romantic|romantic comedy|sweet,0.06772284,0
1052,11,"American President, The (1995)",1995,Comedy|Drama|Romance,chick flick|drama|feel-good|girlie movie|love story|political|politics|president|romance|romantic|romantic comedy|single father|world politics,0.06695006,0
231,597,Pretty Woman (1990),1990,Comedy|Romance,chick flick|destiny|fairy tale|feel good movie|feel-good|girlie movie|good romantic comedies|happy ending|love story|prostitution|rags to riches|romance|romantic|romantic comedy|shopping|sweet|women,0.08003365,1
863,2671,Notting Hill (1999),1999,Comedy|Romance,british|chick flick|comedy|destiny|feel good movie|feel-good|girlie movie|good romantic comedies|happy ending|london|love story|relationships|romance|romantic|romantic comedy|sweet,0.07616008,1
455,2424,You've Got Mail (1998),1998,Comedy|Romance,chick flick|cute|cute!|destiny|feel good movie|feel-good|girlie movie|good romantic comedies|happy ending|internet|love story|predictable|relationships|romance|romantic|romantic comedy|sappy|shopping|sweet,0.072010316,1
233,1569,My Best Friend's Wedding (1997),1997,Comedy|Romance,chick flick|gay|gay character|girlie movie|good romantic comedies|happy ending|love|love story|relationships|romance|romantic|romantic comedy|sweet|unlikely friendships|wedding,0.07194654,1
622,2724,Runaway Bride (1999),1999,Comedy|Romance,chick flick|cute|cute!|destiny|feel-good|girlie movie|good romantic comedies|happy ending|love story|predictable|romance|romantic|romantic comedy|shopping|small town|wedding,0.07174002,1
492,539,Sleepless in Seattle (1993),1993,Comedy|Romance,chick flick|destiny|feel good movie|feel-good|girlie movie|good romantic comedies|happy ending|love|love story|relationships|romance|romantic|romantic comedy|sentimental|sweet,0.071571775,1
349,587,Ghost (1990),1990,Comedy|Romance|Thriller,afterlife|bittersweet|chase|chick flick|death|destiny|drama|ghosts|ghosts/afterlife|girlie movie|good|life & death|love story|oscar (best supporting actress)|oscar winner|romance|romantic|romantic comedy|sentimental|supernatural|suspense|tear jerker|touching,0.068482384,1
412,339,While You Were Sleeping (1995),1995,Comedy|Romance,chick flick|cute|destiny|family|feel good movie|feel-good|girlie movie|good romantic comedies|happy ending|heartwarming|love|love story|romance|romantic|romantic comedy|sweet,0.0677122,1
1052,11,"American President, The (1995)",1995,Comedy|Drama|Romance,chick flick|drama|feel-good|girlie movie|love story|political|politics|president|romance|romantic|romantic comedy|single father|world politics,0.06725693,1
110,356,Forrest Gump (1994),1994,Comedy|Romance|War,based on book|biographical|bittersweet|childhood|destiny|disability|drama|earnest|excellent script|feel-good|good|great acting|great movie|heartwarming|historical|history|imdb top 250|inspirational|life|mentor|narrated|nostalgic|oscar|oscar (best actor)|oscar (best directing)|oscar (best picture)|oscar winner|quotable|sentimental|touching|us history,0.06690635,1
231,597,Pretty Woman (1990),1990,Comedy|Romance,chick flick|destiny|fairy tale|feel good movie|feel-good|girlie movie|good romantic comedies|happy ending|love story|prostitution|rags to riches|romance|romantic|romantic comedy|shopping|sweet|women,0.07970815,2
863,2671,Notting Hill (1999),1999,Comedy|Romance,british|chick flick|comedy|destiny|feel good movie|feel-good|girlie movie|good romantic comedies|happy ending|london|love story|relationships|romance|romantic|romantic comedy|sweet,0.07616643,2
233,1569,My Best Friend's Wedding (1997),1997,Comedy|Romance,chick flick|gay|gay character|girlie movie|good romantic comedies|happy ending|love|love story|relationships|romance|romantic|romantic comedy|sweet|unlikely friendships|wedding,0.0720386,2
455,2424,You've Got Mail (1998),1998,Comedy|Romance,chick flick|cute|cute!|destiny|feel good movie|feel-good|girlie movie|good romantic comedies|happy ending|internet|love story|predictable|relationships|romance|romantic|romantic comedy|sappy|shopping|sweet,0.07200197,2
622,2724,Runaway Bride (1999),1999,Comedy|Romance,chick flick|cute|cute!|destiny|feel-good|girlie movie|good romantic comedies|happy ending|love story|predictable|romance|romantic|romantic comedy|shopping|small town|wedding,0.07190043,2
492,539,Sleepless in Seattle (1993),1993,Comedy|Romance,chick flick|destiny|feel good movie|feel-good|girlie movie|good romantic comedies|happy ending|love|love story|relationships|romance|romantic|romantic comedy|sentimental|sweet,0.07114069,2
110,356,Forrest Gump (1994),1994,Comedy|Romance|War,based on book|biographical|bittersweet|childhood|destiny|disability|drama|earnest|excellent script|feel-good|good|great acting|great movie|heartwarming|historical|history|imdb top 250|inspirational|life|mentor|narrated|nostalgic|oscar|oscar (best actor)|oscar (best directing)|oscar (best picture)|oscar winner|quotable|sentimental|touching|us history,0.068208806,2
349,587,Ghost (1990),1990,Comedy|Romance|Thriller,afterlife|bittersweet|chase|chick flick|death|destiny|drama|ghosts|ghosts/afterlife|girlie movie|good|life & death|love story|oscar (best supporting actress)|oscar winner|romance|romantic|romantic comedy|sentimental|supernatural|suspense|tear jerker|touching,0.0680702,2
412,339,While You Were Sleeping (1995),1995,Comedy|Romance,chick flick|cute|destiny|family|feel good movie|feel-good|girlie movie|good romantic comedies|happy ending|heartwarming|love|love story|romance|romantic|romantic comedy|sweet,0.0677678,2
1052,11,"American President, The (1995)",1995,Comedy|Drama|Romance,chick flick|drama|feel-good|girlie movie|love story|political|politics|president|romance|romantic|romantic comedy|single father|world politics,0.06658166,2
486,898,"Philadelphia Story, The (1940)",1940,Comedy|Romance,classic|great acting|imdb top 250|oscar|oscar (best actor)|oscar (best actress)|oscar (best directing)|romantic comedy|screwball|screwball comedy|talky|witty,0.23681673,3
247,912,Casablanca (1942),1942,Drama|Romance|War,afi 100 (movie quotes)|bittersweet|black and white|classic|dialogue|drama|excellent script|great acting|imdb top 250|love story|love triangles|masterpiece|nazi|nazis|oscar (best actress)|oscar (best directing)|oscar (best picture)|quotable|romance|romantic|sacrifice|wartime|world war ii|wwii,0.23127677,3
798,910,Some Like It Hot (1959),1959,Comedy|Crime,afi 100|black and white|classic|comedy|cross dressing|farce|gangster|gangsters|imdb top 250|original|quotable|screwball|screwball comedy|sexy,0.22761443,3
734,969,"African Queen, The (1951)",1951,Action|Adventure|Romance|War,adventure|afi 100|africa|boat|classic|courage|german|great|great acting|imdb top 250|jungle|love story|oscar (best actor)|oscar (best actress)|oscar (best directing)|oscar winner|romance|romantic|talky,0.22360195,3
826,3435,Double Indemnity (1944),1944,Crime|Film-Noir,adapted from:book|adultery|atmospheric|black and white|bleak|cinematography|classic|complex|complicated|crime|crime gone awry|criterion|cynical|dark|dialogue|downbeat|enigmatic|film noir|great acting|great ending|greed|imdb top 250|interesting|investigation|manipulation|masterpiece|murder|murder mystery|mystery|narrated|neo-noir|noir|noir thriller|original|oscar (best actress)|oscar (best cinematography)|oscar (best directing)|police investigation|sexy|stylized|suspense|suspenseful|talky|tense|twists & turns,0.22109625,3
489,899,Singin' in the Rain (1952),1952,Musical|Romance,affectionate|afi 100|classic|dance|dancing|good music|imdb top 250|music|musical|silent|talky,0.21990222,3
640,1284,"Big Sleep, The (1946)",1946,Film-Noir|Mystery,adapted from:book|based on a book|black and white|classic|complex|complicated|complicated plot|criterion|detective|dialogue|enigmatic|film noir|highly quotable|imdb top 250|investigation|murder|murder mystery|mystery|neo-noir|noir|noir thriller|original|police investigation|pornography|private detective|sexy|talky|twists & turns,0.216933,3
524,1230,Annie Hall (1977),1977,Comedy|Romance,afi 100|bittersweet|character study|imdb top 250|intellectual|intimate|loneliness|love story|masterpiece|melancholic|new york|original|oscar (best actress)|oscar (best directing)|oscar (best picture)|oscar (best writing - screenplay written directly for the screen)|quotable|relationships|romantic|sarcasm|talky|witty,0.2163203,3
939,905,It Happened One Night (1934),1934,Comedy,1930s|classic|great acting|imdb top 250|oscar|oscar (best actor)|oscar (best actress)|oscar (best cinematography)|oscar (best directing)|oscar (best picture)|oscar (best supporting actor)|oscar (best supporting actress)|oscar winner|romance|romantic|romantic comedy|runaway|screwball|screwball comedy|talky|witty,0.21432026,3
188,908,North by Northwest (1959),1959,Drama|Thriller,adventure|chase|classic|complicated|enigmatic|espionage|excellent script|great ending|hitchcock|imdb top 250|masterpiece|mistaken identity|murder|noir thriller|obsession|original|oscar (best directing)|paranoid|police investigation|secrets|spy|spying|suspense|suspenseful|tense|thriller|twists & turns|witty,0.21286772,3
231,597,Pretty Woman (1990),1990,Comedy|Romance,chick flick|destiny|fairy tale|feel good movie|feel-good|girlie movie|good romantic comedies|happy ending|love story|prostitution|rags to riches|romance|romantic|romantic comedy|shopping|sweet|women,0.07990417,4
863,2671,Notting Hill (1999),1999,Comedy|Romance,british|chick flick|comedy|destiny|feel good movie|feel-good|girlie movie|good romantic comedies|happy ending|london|love story|relationships|romance|romantic|romantic comedy|sweet,0.076284155,4
233,1569,My Best Friend's Wedding (1997),1997,Comedy|Romance,chick flick|gay|gay character|girlie movie|good romantic comedies|happy ending|love|love story|relationships|romance|romantic|romantic comedy|sweet|unlikely friendships|wedding,0.072007336,4
455,2424,You've Got Mail (1998),1998,Comedy|Romance,chick flick|cute|cute!|destiny|feel good movie|feel-good|girlie movie|good romantic comedies|happy ending|internet|love story|predictable|relationships|romance|romantic|romantic comedy|sappy|shopping|sweet,0.07190618,4
622,2724,Runaway Bride (1999),1999,Comedy|Romance,chick flick|cute|cute!|destiny|feel-good|girlie movie|good romantic comedies|happy ending|love story|predictable|romance|romantic|romantic comedy|shopping|small town|wedding,0.07176227,4
492,539,Sleepless in Seattle (1993),1993,Comedy|Romance,chick flick|destiny|feel good movie|feel-good|girlie movie|good romantic comedies|happy ending|love|love story|relationships|romance|romantic|romantic comedy|sentimental|sweet,0.07117025,4
349,587,Ghost (1990),1990,Comedy|Romance|Thriller,afterlife|bittersweet|chase|chick flick|death|destiny|drama|ghosts|ghosts/afterlife|girlie movie|good|life & death|love story|oscar (best supporting actress)|oscar winner|romance|romantic|romantic comedy|sentimental|supernatural|suspense|tear jerker|touching,0.068245575,4
1052,11,"American President, The (1995)",1995,Comedy|Drama|Romance,chick flick|drama|feel-good|girlie movie|love story|political|politics|president|romance|romantic|romantic comedy|single father|world politics,0.06790598,4
412,339,While You Were Sleeping (1995),1995,Comedy|Romance,chick flick|cute|destiny|family|feel good movie|feel-good|girlie movie|good romantic comedies|happy ending|heartwarming|love|love story|romance|romantic|romantic comedy|sweet,0.06779166,4
110,356,Forrest Gump (1994),1994,Comedy|Romance|War,based on book|biographical|bittersweet|childhood|destiny|disability|drama|earnest|excellent script|feel-good|good|great acting|great movie|heartwarming|historical|history|imdb top 250|inspirational|life|mentor|narrated|nostalgic|oscar|oscar (best actor)|oscar (best directing)|oscar (best picture)|oscar winner|quotable|sentimental|touching|us history,0.06747026,4
231,597,Pretty Woman (1990),1990,Comedy|Romance,chick flick|destiny|fairy tale|feel good movie|feel-good|girlie movie|good romantic comedies|happy ending|love story|prostitution|rags to riches|romance|romantic|romantic comedy|shopping|sweet|women,0.07982637,5
863,2671,Notting Hill (1999),1999,Comedy|Romance,british|chick flick|comedy|destiny|feel good movie|feel-good|girlie movie|good romantic comedies|happy ending|london|love story|relationships|romance|romantic|romantic comedy|sweet,0.076288365,5
233,1569,My Best Friend's Wedding (1997),1997,Comedy|Romance,chick flick|gay|gay character|girlie movie|good romantic comedies|happy ending|love|love story|relationships|romance|romantic|romantic comedy|sweet|unlikely friendships|wedding,0.07198819,5
455,2424,You've Got Mail (1998),1998,Comedy|Romance,chick flick|cute|cute!|destiny|feel good movie|feel-good|girlie movie|good romantic comedies|happy ending|internet|love story|predictable|relationships|romance|romantic|romantic comedy|sappy|shopping|sweet,0.07189118,5
492,539,Sleepless in Seattle (1993),1993,Comedy|Romance,chick flick|destiny|feel good movie|feel-good|girlie movie|good romantic comedies|happy ending|love|love story|relationships|romance|romantic|romantic comedy|sentimental|sweet,0.07179267,5
622,2724,Runaway Bride (1999),1999,Comedy|Romance,chick flick|cute|cute!|destiny|feel-good|girlie movie|good romantic comedies|happy ending|love story|predictable|romance|romantic|romantic comedy|shopping|small town|wedding,0.07177234,5
349,587,Ghost (1990),1990,Comedy|Romance|Thriller,afterlife|bittersweet|chase|chick flick|death|destiny|drama|ghosts|ghosts/afterlife|girlie movie|good|life & death|love story|oscar (best supporting actress)|oscar winner|romance|romantic|romantic comedy|sentimental|supernatural|suspense|tear jerker|touching,0.06818674,5
412,339,While You Were Sleeping (1995),1995,Comedy|Romance,chick flick|cute|destiny|family|feel good movie|feel-good|girlie movie|good romantic comedies|happy ending|heartwarming|love|love story|romance|romantic|romantic comedy|sweet,0.06780399,5
1052,11,"American President, The (1995)",1995,Comedy|Drama|Romance,chick flick|drama|feel-good|girlie movie|love story|political|politics|president|romance|romantic|romantic comedy|single father|world politics,0.06731572,5
110,356,Forrest Gump (1994),1994,Comedy|Romance|War,based on book|biographical|bittersweet|childhood|destiny|disability|drama|earnest|excellent script|feel-good|good|great acting|great movie|heartwarming|historical|history|imdb top 250|inspirational|life|mentor|narrated|nostalgic|oscar|oscar (best actor)|oscar (best directing)|oscar (best picture)|oscar winner|quotable|sentimental|touching|us history,0.06686026,5
231,597,Pretty Woman (1990),1990,Comedy|Romance,chick flick|destiny|fairy tale|feel good movie|feel-good|girlie movie|good romantic comedies|happy ending|love story|prostitution|rags to riches|romance|romantic|romantic comedy|shopping|sweet|women,0.07987193,6
863,2671,Notting Hill (1999),1999,Comedy|Romance,british|chick flick|comedy|destiny|feel good movie|feel-good|girlie movie|good romantic comedies|happy ending|london|love story|relationships|romance|romantic|romantic comedy|sweet,0.07637021,6
233,1569,My Best Friend's Wedding (1997),1997,Comedy|Romance,chick flick|gay|gay character|girlie movie|good romantic comedies|happy ending|love|love story|relationships|romance|romantic|romantic comedy|sweet|unlikely friendships|wedding,0.07205646,6
455,2424,You've Got Mail (1998),1998,Comedy|Romance,chick flick|cute|cute!|destiny|feel good movie|feel-good|girlie movie|good romantic comedies|happy ending|internet|love story|predictable|relationships|romance|romantic|romantic comedy|sappy|shopping|sweet,0.071922265,6
622,2724,Runaway Bride (1999),1999,Comedy|Romance,chick flick|cute|cute!|destiny|feel-good|girlie movie|good romantic comedies|happy ending|love story|predictable|romance|romantic|romantic comedy|shopping|small town|wedding,0.071797974,6
492,539,Sleepless in Seattle (1993),1993,Comedy|Romance,chick flick|destiny|feel good movie|feel-good|girlie movie|good romantic comedies|happy ending|love|love story|relationships|romance|romantic|romantic comedy|sentimental|sweet,0.07126503,6
