,product_group_name,product_type_name,graphical_appearance_name,colour_group_name,perceived_colour_master_name,index_group_name,garment_group_name,section_name,department_name,product_code,perceived_colour_value_name
product_group_name,1.0,0.6881423932259535,0.11744181737873755,0.0821320089182929,0.0778493978733511,0.062314044110776214,0.5774359631455083,0.3734296551081592,0.47509408109630324,0.3411985042887829,0.03658499891137839
product_type_name,0.6881423932259535,1.0,0.15027702651503325,0.1208548017528127,0.10412510967160639,0.10707176366950227,0.5991394476326957,0.4059613712774017,0.6125552353666902,0.5621928540237247,0.05800097901381617
graphical_appearance_name,0.11744181737873755,0.15027702651503325,1.0,0.10792255033352793,0.10068311734234317,0.05761116202158812,0.17331661235470153,0.14832503194057936,0.19797921668248036,0.2843944497961405,0.032832437640584654
colour_group_name,0.0821320089182929,0.1208548017528127,0.10792255033352793,1.0,0.8064781353951963,0.032953887969446524,0.09861846470978472,0.12633202468984459,0.16401388273198714,0.37300149897142443,0.4800583399362215
perceived_colour_master_name,0.0778493978733511,0.10412510967160639,0.10068311734234317,0.8064781353951963,1.0,0.023593547925001894,0.08520958757902664,0.10012169380290639,0.12834228763558625,0.30146574904201967,0.3646701822947677
index_group_name,0.062314044110776214,0.10707176366950227,0.05761116202158812,0.032953887969446524,0.023593547925001894,1.0,0.12986931264810808,0.5119569841069356,0.3943593386335041,0.2382415100043765,0.012842459731106207
garment_group_name,0.5774359631455083,0.5991394476326957,0.17331661235470153,0.09861846470978472,0.08520958757902664,0.12986931264810808,1.0,0.5439530353954336,0.7609995992771325,0.4747742700166219,0.037669406091397545
section_name,0.3734296551081592,0.4059613712774017,0.14832503194057936,0.12633202468984459,0.10012169380290639,0.5119569841069356,0.5439530353954336,1.0,0.7625969151952279,0.5577343136991749,0.04618366120281239
department_name,0.47509408109630324,0.6125552353666902,0.19797921668248036,0.16401388273198714,0.12834228763558625,0.3943593386335041,0.7609995992771325,0.7625969151952279,1.0,0.6717732343758291,0.06720474677016111
product_code,0.3411985042887829,0.5621928540237247,0.2843944497961405,0.37300149897142443,0.30146574904201967,0.2382415100043765,0.4747742700166219,0.5577343136991749,0.6717732343758291,1.0,0.18693715519508824
perceived_colour_value_name,0.03658499891137839,0.05800097901381617,0.032832437640584654,0.4800583399362215,0.3646701822947677,0.012842459731106207,0.037669406091397545,0.04618366120281239,0.06720474677016111,0.18693715519508824,1.0
