feature,n_unique,missing_pct,effective_n_values,top1_share_pct,top10_share_pct,values_under_5_items_pct
index_group_name,5,0.0,3.211130409643377,58.948062413010035,100.0,0.0
perceived_colour_value_name,7,0.0,4.51494853229953,41.462163944033406,100.0,0.0
product_group_name,12,0.0,5.945066720741101,38.90557468317339,99.80221229213977,0.0
perceived_colour_master_name,19,0.0,10.798495569063112,28.173760164090545,87.26100651966888,5.263157894736842
garment_group_name,21,0.0,14.678113487738983,16.67277122555124,82.14782799794887,0.0
graphical_appearance_name,28,0.0,5.426928748870893,58.12760969892315,94.01509046956268,3.571428571428571
colour_group_name,48,0.0,18.95868025528862,28.027250750860745,68.96930627792835,8.333333333333332
section_name,51,0.0,28.178867734036757,12.218885063365322,57.85656728444803,3.9215686274509802
product_type_name,102,0.0,29.870138725761887,13.10526701340561,61.03582155153469,28.431372549019606
department_name,197,0.0,78.99289708381423,6.080140649036701,36.64932971943447,18.781725888324875
product_code,7174,0.0,5541.95931636794,0.27836788513662003,1.6555563694967401,94.42431000836353
