,product_group_name,product_type_name,graphical_appearance_name,colour_group_name,perceived_colour_master_name,index_group_name,garment_group_name,section_name,department_name,product_code,perceived_colour_value_name
product_group_name,1.0,0.4376968720240275,0.5812760969892315,0.28027250750860744,0.2894293458354699,0.5901399164896345,0.5184968134202622,0.3166068419895978,0.22313383634898543,0.012233536004688302,0.41572046003955754
product_type_name,0.9997802358801553,1.0,0.5861841623324299,0.30759651307596514,0.33521353746978244,0.6096989231558128,0.6933557981100286,0.3853930115009889,0.4104461211632847,0.0397040509852758,0.4390154567430957
graphical_appearance_name,0.46040583107464655,0.2052596879349498,1.0,0.30774302248919494,0.3577759871071716,0.6112372719947257,0.24130100358948062,0.16028129807340122,0.12321441652626182,0.014504431909750202,0.43095743901545674
colour_group_name,0.44289795619368544,0.191194784264889,0.6204673650282031,1.0,0.9241081239469636,0.5907992088491686,0.22811515639879862,0.1851146436158523,0.11273899348033112,0.0090103289136327,0.8162771958098308
perceived_colour_master_name,0.44062706028862353,0.18357629477693943,0.6082338290235147,0.6843454691963958,1.0,0.5894806241301004,0.21654091275364443,0.1727345981979342,0.10387517397992821,0.0060068859424218,0.6453007105706542
index_group_name,0.38905574683173394,0.1581569115815691,0.5812760969892315,0.28027250750860744,0.28173760164090544,1.0,0.18313676653725003,0.30635118306351183,0.12533880301809391,0.007471980074719801,0.41462163944033403
garment_group_name,0.8477034649476228,0.5030400703245184,0.6228847703464948,0.2857666105047249,0.31103948428686545,0.6339462310453446,1.0,0.40297414108856494,0.43147022196176105,0.019339242546333603,0.41923668595707275
section_name,0.6412717017068347,0.31155226723316976,0.6196615632554392,0.3009303347740092,0.3264229726759944,0.9949454252435719,0.5683832686250092,1.0,0.40927404585744637,0.032964617976705,0.43689107025126367
department_name,0.8723903010768442,0.6203941103215882,0.6384147681488536,0.31939052084096403,0.3541865064830415,0.9687202402754377,0.9994872170536957,0.8274851659219105,1.0,0.07428027250750861,0.45776866163651014
product_code,0.995604717603106,0.9893048128342246,0.8812541205772471,0.5827411911215296,0.6135814226064025,0.9995604717603106,0.9988279246941616,0.9983151417478573,0.9967767929089444,1.0,0.6904988645520475
perceived_colour_value_name,0.40356017874148414,0.1506849315068493,0.5812760969892315,0.4783532341952971,0.48523917661709765,0.5894806241301004,0.18877737894659732,0.1453373379239616,0.082045271408688,0.0038824994505897003,1.0
