timestamp,gpu_util_pct,vram_used_mib,vram_total_mib,vram_pct,cpu_pct,ram_used_mib,ram_total_mib,ram_pct,gpu_temp_c
2026-04-15 10:20:06,0.0,4,24576,0.0,0.0,545,257046,0.2,33
2026-04-15 10:20:28,0.0,4,24576,0.0,1639.0,13916,257046,5.4,33
2026-04-15 10:20:39,0.0,4,24576,0.0,104.7,14494,257046,5.6,33
2026-04-15 10:20:49,0.0,4,24576,0.0,76.5,14690,257046,5.7,33
2026-04-15 10:20:59,0.0,279,24576,1.1,268.7,16039,257046,6.2,33
2026-04-15 10:21:09,0.0,549,24576,2.2,240.4,17095,257046,6.7,33
2026-04-15 10:21:19,1.0,1053,24576,4.3,531.0,21200,257046,8.2,33
2026-04-15 10:21:29,3.0,1428,24576,5.8,566.5,22541,257046,8.8,33
2026-04-15 10:21:39,2.0,1900,24576,7.7,606.8,23703,257046,9.2,33
2026-04-15 10:21:49,3.0,1900,24576,7.7,606.1,23703,257046,9.2,33
2026-04-15 10:21:59,3.0,1900,24576,7.7,604.2,23703,257046,9.2,33
2026-04-15 10:22:09,3.0,1900,24576,7.7,603.6,23705,257046,9.2,33
2026-04-15 10:22:19,2.0,1900,24576,7.7,603.4,23705,257046,9.2,33
2026-04-15 10:22:30,3.0,1900,24576,7.7,602.6,23710,257046,9.2,33
2026-04-15 10:22:40,3.0,1900,24576,7.7,602.5,23710,257046,9.2,33
2026-04-15 10:22:50,3.0,1900,24576,7.7,603.4,23710,257046,9.2,33
2026-04-15 10:23:00,2.0,1900,24576,7.7,603.5,23710,257046,9.2,33
2026-04-15 10:23:10,2.0,1900,24576,7.7,603.5,23711,257046,9.2,33
2026-04-15 10:23:20,5.0,2038,24576,8.3,-650.8,24158,257046,9.4,33
2026-04-15 10:23:30,8.0,2210,24576,9.0,-3218.7,24161,257046,9.4,33
2026-04-15 10:23:40,15.0,2308,24576,9.4,623.4,25481,257046,9.9,34
2026-04-15 10:23:50,15.0,2588,24576,10.5,-659.7,25940,257046,10.1,34
2026-04-15 10:24:01,18.0,2588,24576,10.5,616.3,25940,257046,10.1,34
2026-04-15 10:24:11,23.0,2588,24576,10.5,614.2,25941,257046,10.1,34
2026-04-15 10:24:21,20.0,2588,24576,10.5,614.3,25941,257046,10.1,34
2026-04-15 10:24:31,19.0,2588,24576,10.5,615.1,25941,257046,10.1,34
2026-04-15 10:24:41,16.0,2588,24576,10.5,612.6,25940,257046,10.1,34
2026-04-15 10:24:51,20.0,2588,24576,10.5,607.9,25940,257046,10.1,34
2026-04-15 10:25:01,15.0,2588,24576,10.5,610.7,25939,257046,10.1,34
2026-04-15 10:25:11,20.0,2588,24576,10.5,611.5,25939,257046,10.1,34
2026-04-15 10:25:22,19.0,2588,24576,10.5,616.3,25939,257046,10.1,34
2026-04-15 10:25:32,20.0,2588,24576,10.5,611.2,25939,257046,10.1,35
2026-04-15 10:25:42,17.0,2588,24576,10.5,612.0,25938,257046,10.1,34
2026-04-15 10:25:52,20.0,2588,24576,10.5,610.6,25939,257046,10.1,35
2026-04-15 10:26:02,21.0,2588,24576,10.5,612.3,25939,257046,10.1,35
2026-04-15 10:26:12,18.0,2588,24576,10.5,611.4,25939,257046,10.1,35
2026-04-15 10:26:22,18.0,2588,24576,10.5,610.7,25939,257046,10.1,35
2026-04-15 10:26:32,20.0,2588,24576,10.5,611.2,25939,257046,10.1,35
2026-04-15 10:26:42,20.0,2588,24576,10.5,611.5,25939,257046,10.1,35
2026-04-15 10:26:52,21.0,2588,24576,10.5,611.0,25939,257046,10.1,35
2026-04-15 10:27:03,21.0,2588,24576,10.5,612.7,25938,257046,10.1,35
2026-04-15 10:27:13,18.0,2588,24576,10.5,611.1,25938,257046,10.1,35
2026-04-15 10:27:23,18.0,2588,24576,10.5,610.5,25937,257046,10.1,35
2026-04-15 10:27:33,21.0,2588,24576,10.5,612.9,25937,257046,10.1,35
2026-04-15 10:27:43,18.0,2588,24576,10.5,612.2,25937,257046,10.1,35
2026-04-15 10:27:53,19.0,2588,24576,10.5,612.2,25938,257046,10.1,35
2026-04-15 10:28:03,20.0,2588,24576,10.5,609.6,25938,257046,10.1,35
2026-04-15 10:28:13,18.0,2588,24576,10.5,612.1,25938,257046,10.1,35
2026-04-15 10:28:23,18.0,2588,24576,10.5,609.8,25938,257046,10.1,35
2026-04-15 10:28:33,20.0,2588,24576,10.5,610.1,25938,257046,10.1,35
2026-04-15 10:28:44,19.0,2588,24576,10.5,610.5,25938,257046,10.1,35
2026-04-15 10:28:54,18.0,2588,24576,10.5,612.5,25938,257046,10.1,35
2026-04-15 10:29:04,16.0,2588,24576,10.5,611.9,25945,257046,10.1,35
2026-04-15 10:29:14,20.0,2588,24576,10.5,612.2,25946,257046,10.1,35
2026-04-15 10:29:24,21.0,2588,24576,10.5,610.7,25945,257046,10.1,35
2026-04-15 10:29:34,19.0,2588,24576,10.5,611.5,25945,257046,10.1,35
2026-04-15 10:29:44,19.0,2588,24576,10.5,610.1,25946,257046,10.1,35
2026-04-15 10:29:54,16.0,2588,24576,10.5,613.7,25946,257046,10.1,35
2026-04-15 10:30:04,19.0,2588,24576,10.5,610.9,25946,257046,10.1,35
2026-04-15 10:30:14,18.0,2588,24576,10.5,611.2,25947,257046,10.1,35
2026-04-15 10:30:25,16.0,2588,24576,10.5,610.2,25947,257046,10.1,35
2026-04-15 10:30:35,21.0,2588,24576,10.5,610.3,25948,257046,10.1,35
2026-04-15 10:30:45,16.0,2588,24576,10.5,606.7,25948,257046,10.1,35
2026-04-15 10:30:55,20.0,2588,24576,10.5,608.5,25948,257046,10.1,35
2026-04-15 10:31:05,17.0,2588,24576,10.5,611.7,25948,257046,10.1,35
2026-04-15 10:31:15,20.0,2588,24576,10.5,612.9,25948,257046,10.1,35
2026-04-15 10:31:25,18.0,2588,24576,10.5,610.5,25948,257046,10.1,35
2026-04-15 10:31:35,21.0,2588,24576,10.5,611.9,25948,257046,10.1,35
2026-04-15 10:31:45,18.0,2588,24576,10.5,610.0,25949,257046,10.1,35
2026-04-15 10:31:55,21.0,2588,24576,10.5,611.9,25951,257046,10.1,35
2026-04-15 10:32:06,21.0,2588,24576,10.5,609.7,25952,257046,10.1,35
2026-04-15 10:32:16,19.0,2588,24576,10.5,613.0,25953,257046,10.1,35
2026-04-15 10:32:26,18.0,2588,24576,10.5,611.1,25954,257046,10.1,35
2026-04-15 10:32:36,18.0,2588,24576,10.5,611.7,25954,257046,10.1,35
2026-04-15 10:32:46,20.0,2588,24576,10.5,613.2,25953,257046,10.1,35
2026-04-15 10:32:56,19.0,2588,24576,10.5,612.9,25954,257046,10.1,35
2026-04-15 10:33:06,19.0,2588,24576,10.5,610.6,25953,257046,10.1,35
2026-04-15 10:33:16,20.0,2588,24576,10.5,611.1,25953,257046,10.1,35
2026-04-15 10:33:26,18.0,2588,24576,10.5,611.2,25952,257046,10.1,35
2026-04-15 10:33:36,16.0,2588,24576,10.5,612.3,25953,257046,10.1,35
2026-04-15 10:33:47,12.0,2588,24576,10.5,606.0,25957,257046,10.1,35
2026-04-15 10:33:57,15.0,2588,24576,10.5,608.8,25957,257046,10.1,35
2026-04-15 10:34:07,18.0,2588,24576,10.5,611.4,25957,257046,10.1,35
2026-04-15 10:34:17,20.0,2588,24576,10.5,610.7,25958,257046,10.1,35
2026-04-15 10:34:27,19.0,2588,24576,10.5,613.5,25958,257046,10.1,35
2026-04-15 10:34:37,22.0,2588,24576,10.5,611.3,25958,257046,10.1,35
2026-04-15 10:34:47,21.0,2588,24576,10.5,611.0,25958,257046,10.1,35
2026-04-15 10:34:57,18.0,2588,24576,10.5,612.0,25958,257046,10.1,35
2026-04-15 10:35:07,20.0,2588,24576,10.5,625.9,25958,257046,10.1,35
2026-04-15 10:35:18,18.0,2588,24576,10.5,630.9,25958,257046,10.1,35
2026-04-15 10:35:28,19.0,2588,24576,10.5,630.8,25959,257046,10.1,35
2026-04-15 10:35:38,18.0,2588,24576,10.5,630.6,25964,257046,10.1,35
2026-04-15 10:35:48,15.0,2588,24576,10.5,629.7,25971,257046,10.1,35
2026-04-15 10:35:58,16.0,2588,24576,10.5,628.7,25979,257046,10.1,35
2026-04-15 10:36:08,15.0,2588,24576,10.5,633.3,25987,257046,10.1,35
2026-04-15 10:36:18,17.0,2588,24576,10.5,629.3,25992,257046,10.1,35
2026-04-15 10:36:28,18.0,2588,24576,10.5,627.8,26005,257046,10.1,35
2026-04-15 10:36:38,17.0,2588,24576,10.5,630.2,26015,257046,10.1,35
2026-04-15 10:36:49,19.0,2588,24576,10.5,626.0,26016,257046,10.1,35
2026-04-15 10:36:59,17.0,2588,24576,10.5,628.9,26016,257046,10.1,35
2026-04-15 10:37:09,19.0,2588,24576,10.5,631.6,26016,257046,10.1,35
2026-04-15 10:37:19,18.0,2588,24576,10.5,628.4,26016,257046,10.1,35
2026-04-15 10:37:29,18.0,2588,24576,10.5,629.2,26016,257046,10.1,35
2026-04-15 10:37:39,16.0,2588,24576,10.5,628.9,26016,257046,10.1,35
2026-04-15 10:37:49,19.0,2588,24576,10.5,629.8,26016,257046,10.1,35
2026-04-15 10:37:59,18.0,2588,24576,10.5,630.1,26017,257046,10.1,35
2026-04-15 10:38:10,17.0,2588,24576,10.5,628.7,26017,257046,10.1,35
2026-04-15 10:38:20,17.0,2588,24576,10.5,627.6,26016,257046,10.1,35
2026-04-15 10:38:30,18.0,2588,24576,10.5,633.3,26016,257046,10.1,35
2026-04-15 10:38:40,16.0,2588,24576,10.5,632.0,26016,257046,10.1,35
2026-04-15 10:38:50,19.0,2588,24576,10.5,633.3,26016,257046,10.1,35
2026-04-15 10:39:00,15.0,2588,24576,10.5,633.0,26021,257046,10.1,35
2026-04-15 10:39:10,14.0,2588,24576,10.5,631.1,26021,257046,10.1,35
2026-04-15 10:39:20,19.0,2588,24576,10.5,633.2,26020,257046,10.1,35
2026-04-15 10:39:31,17.0,2588,24576,10.5,629.1,26020,257046,10.1,35
