item_id,item,title,year,genres,item weight,prototype
2262,3146,Deuce Bigalow: Male Gigolo (1999),1999,Comedy,1.8368504,0
875,3254,Wayne's World 2 (1993),1993,Comedy,1.826972,0
1297,3208,Loaded Weapon 1 (1993),1993,Action|Comedy,1.7912047,0
2348,2060,BASEketball (1998),1998,Comedy,1.7883064,0
1714,2606,Idle Hands (1999),1999,Comedy|Horror,1.7796738,0
1936,2004,Gremlins 2: The New Batch (1990),1990,Comedy|Horror,1.7729537,0
1154,466,Hot Shots! Part Deux (1993),1993,Action|Comedy|War,1.768427,0
1338,799,"Frighteners, The (1996)",1996,Comedy|Horror,1.764086,0
808,2195,Dirty Work (1998),1998,Comedy,1.7629688,0
2658,174,Jury Duty (1995),1995,Comedy,1.7550328,0
2180,3093,McCabe & Mrs. Miller (1971),1971,Drama|Western,1.8299837,1
1024,931,Spellbound (1945),1945,Mystery|Romance|Thriller,1.8288491,1
1085,3467,Hud (1963),1963,Drama|Western,1.8247248,1
2515,2925,"Conformist, The (Il Conformista) (1970)",1970,Drama,1.8234177,1
1373,1913,Picnic at Hanging Rock (1975),1975,Drama|Mystery,1.8191009,1
1503,3789,"Pawnbroker, The (1965)",1965,Drama,1.8082805,1
1517,3201,Five Easy Pieces (1970),1970,Drama,1.8053157,1
1101,2932,Days of Heaven (1978),1978,Drama,1.7929363,1
2009,2730,Barry Lyndon (1975),1975,Drama,1.7859359,1
2138,3379,On the Beach (1959),1959,Drama,1.7808696,1
641,2660,"Thing From Another World, The (1951)",1951,Sci-Fi,1.8481414,2
2343,3627,Carnival of Souls (1962),1962,Horror|Thriller,1.8160285,2
832,2726,"Killing, The (1956)",1956,Crime|Film-Noir,1.8074112,2
2155,1232,Stalker (1979),1979,Mystery|Sci-Fi,1.7947166,2
1102,3091,Kagemusha (1980),1980,Drama|War,1.7904887,2
2506,3133,Go West (1925),1925,Comedy,1.7707801,2
935,3364,"Asphalt Jungle, The (1950)",1950,Crime|Film-Noir,1.7488651,2
2667,2495,"Fantastic Planet, The (La Planète sauvage) (1973)",1973,Animation|Sci-Fi,1.7359895,2
1721,2204,Saboteur (1942),1942,Thriller,1.7261072,2
2337,3947,Get Carter (1971),1971,Thriller,1.7178171,2
1278,2344,Runaway Train (1985),1985,Action|Adventure|Drama|Thriller,1.833503,3
1150,3727,Near Dark (1987),1987,Comedy|Horror,1.7849472,3
1852,1227,Once Upon a Time in America (1984),1984,Crime|Drama|Thriller,1.7822176,3
1844,3529,"Postman Always Rings Twice, The (1981)",1981,Crime|Thriller,1.778723,3
1389,259,Kiss of Death (1995),1995,Crime|Drama|Thriller,1.770319,3
1436,482,Killing Zoe (1994),1994,Thriller,1.7555677,3
1958,3420,...And Justice for All (1979),1979,Drama|Thriller,1.7536259,3
1044,2118,"Dead Zone, The (1983)",1983,Horror|Thriller,1.7446718,3
2581,2551,Dead Ringers (1988),1988,Drama|Thriller,1.7376652,3
1036,3682,Magnum Force (1973),1973,Western,1.737333,3
868,425,Blue Sky (1994),1994,Drama|Romance,1.9024484,4
1602,2357,Central Station (Central do Brasil) (1998),1998,Drama,1.8638439,4
2005,2611,"Winslow Boy, The (1998)",1998,Drama,1.8448081,4
286,2442,Hilary and Jackie (1998),1998,Drama,1.837028,4
1551,82,Antonia's Line (Antonia) (1995),1995,Drama,1.8365774,4
958,1660,Eve's Bayou (1997),1997,Drama,1.8309035,4
2083,523,Ruby in Paradise (1993),1993,Drama,1.8225493,4
1588,1187,Passion Fish (1992),1992,Drama,1.8191116,4
1892,3426,Jungle Fever (1991),1991,Drama|Romance,1.8149602,4
1092,2171,"Next Stop, Wonderland (1998)",1998,Comedy|Drama|Romance,1.811012,4
1940,3859,"Eyes of Tammy Faye, The (2000)",2000,Documentary,1.9003229,5
1933,1111,Microcosmos (Microcosmos: Le peuple de l'herbe) (1996),1996,Documentary,1.8888016,5
903,1966,Metropolitan (1990),1990,Comedy,1.8471537,5
1938,549,Thirty-Two Short Films About Glenn Gould (1993),1993,Documentary,1.8461019,5
1772,3521,Mystery Train (1989),1989,Comedy|Crime|Drama,1.8304856,5
184,1649,"Fast, Cheap & Out of Control (1997)",1997,Documentary,1.8166356,5
2220,187,Party Girl (1995),1995,Comedy,1.8131704,5
1948,206,Unzipped (1995),1995,Documentary,1.8037213,5
2047,1236,Trust (1990),1990,Comedy|Drama,1.7953607,5
1319,1279,Night on Earth (1991),1991,Comedy|Drama,1.794934,5
1646,2953,Home Alone 2: Lost in New York (1992),1992,Children's|Comedy,1.9025896,6
696,158,Casper (1995),1995,Adventure|Children's,1.8678749,6
1565,2421,"Karate Kid, Part II, The (1986)",1986,Action|Adventure|Drama,1.8623215,6
1613,2162,"NeverEnding Story II: The Next Chapter, The (1990)",1990,Adventure|Children's|Fantasy,1.8599663,6
466,520,Robin Hood: Men in Tights (1993),1993,Comedy,1.855361,6
1227,1894,Six Days Seven Nights (1998),1998,Adventure|Comedy|Romance,1.8524821,6
1616,1474,Jungle2Jungle (a.k.a. Jungle 2 Jungle) (1997),1997,Children's|Comedy,1.8335029,6
1651,631,All Dogs Go to Heaven 2 (1996),1996,Animation|Children's|Musical,1.8325536,6
2372,135,Down Periscope (1996),1996,Comedy,1.8268957,6
2365,2042,D2: The Mighty Ducks (1994),1994,Children's|Comedy,1.8186831,6
8,938,Gigi (1958),1958,Musical,1.9335215,7
953,3548,Auntie Mame (1958),1958,Comedy|Drama,1.8518938,7
1483,3061,Holiday Inn (1942),1942,Comedy|Musical,1.836374,7
1032,2941,South Pacific (1958),1958,Musical|Romance|War,1.8286607,7
1715,1951,Oliver! (1968),1968,Musical,1.8235422,7
1089,3549,Guys and Dolls (1955),1955,Musical,1.8208892,7
388,1286,Somewhere in Time (1980),1980,Drama|Romance,1.8164965,7
978,3028,"Taming of the Shrew, The (1967)",1967,Comedy,1.8082377,7
419,915,Sabrina (1954),1954,Comedy|Romance,1.8008502,7
1001,2565,"King and I, The (1956)",1956,Musical,1.7980516,7
512,1586,G.I. Jane (1997),1997,Action|Drama|War,1.8145026,8
115,2735,"Golden Child, The (1986)",1986,Action|Adventure|Comedy,1.7957249,8
2262,3146,Deuce Bigalow: Male Gigolo (1999),1999,Comedy,1.7855322,8
552,333,Tommy Boy (1995),1995,Comedy,1.7745559,8
1874,2387,Very Bad Things (1998),1998,Comedy|Crime,1.7511835,8
1713,1461,Vegas Vacation (1997),1997,Comedy,1.7413609,8
1067,1091,Weekend at Bernie's (1989),1989,Comedy,1.7399535,8
